Cell,#Total Tweets,#Number of Languages Used,#Top 10 Languages & #Tweets
19,4522,31,"English-4186, Japanese-56, Spanish-42, und-42, in-32, ca-24, Portuguese-15, tl-13, zh-13, German-12"
23,969,22,"English-888, ht-17, und-7, Japanese-6, in-6, Romanian-6, Spanish-5, et-5, Italian-5, tl-4"
10,184,5,"English-179, tl-2, Danish-1, ca-1, ht-1"
18,643,13,"English-611, in-5, Japanese-5, zh-5, Romanian-4, Spanish-3, Portuguese-3, ca-2, und-1, tl-1"
22,470,11,"English-450, Japanese-8, Portuguese-3, Italian-2, Spanish-1, French-1, German-1, Dutch-1, in-1, Turkish-1"
14,507,13,"English-481, zh-5, und-4, Italian-4, Japanese-3, tl-2, German-2, Finnish-1, in-1, Portuguese-1"
9,21,2,"English-20, French-1"
12,98,7,"English-90, Portuguese-2, cy-2, Spanish-1, und-1, lt-1, ca-1"
20,162,8,"English-154, und-2, Spanish-1, et-1, ca-1, Thai-1, tl-1, Portuguese-1"
15,97,7,"English-84, in-6, Spanish-2, und-2, zh-1, French-1, Romanian-1"
17,11,3,"English-9, in-1, Thai-1"
21,85,4,"English-80, French-2, Turkish-2, Spanish-1"
11,47,5,"English-42, French-2, und-1, ht-1, German-1"
24,3,1,English-3
13,23,3,"English-21, und-1, Japanese-1"
16,33,2,"English-31, Spanish-2"
